Rank,Title,Year,Director,Cast,Rating,Poster
107,Scarface,1983,Brian De Palma,"Al Pacino,  Michelle Pfeiffer",8.2,\Posters\Scarface
108,Hamilton,2020,Thomas Kail,"Lin-Manuel Miranda,  Phillipa Soo",8.2,\Posters\Hamilton
109,To Kill a Mockingbird,1962,Robert Mulligan,"Gregory Peck,  John Megna",8.2,\Posters\To Kill a Mockingbird
110,Incendies,2010,Denis Villeneuve,"Lubna Azabal,  Mélissa Désormeaux-Poulin",8.2,\Posters\Incendies
111,The Sting,1973,George Roy Hill,"Paul Newman,  Robert Redford",8.2,\Posters\The Sting
112,Heat,1995,Michael Mann,"Al Pacino,  Robert De Niro",8.2,\Posters\Heat
113,Up,2009,Pete Docter,"Edward Asner,  Jordan Nagai",8.2,\Posters\Up
114,Jodaeiye Nader az Simin,2011,Asghar Farhadi,"Payman Maadi,  Leila Hatami",8.2,\Posters\Jodaeiye Nader az Simin
115,Taxi Driver,1976,Martin Scorsese,"Robert De Niro,  Jodie Foster",8.2,\Posters\Taxi Driver
116,Metropolis,1927,Fritz Lang,"Brigitte Helm,  Alfred Abel",8.2,\Posters\Metropolis
117,L.A. Confidential,1997,Curtis Hanson,"Kevin Spacey,  Russell Crowe",8.2,\Posters\L.A. Confidential
118,Die Hard,1988,John McTiernan,"Bruce Willis,  Alan Rickman",8.2,\Posters\Die Hard
119,Snatch,2000,Guy Ritchie,"Jason Statham,  Brad Pitt",8.2,\Posters\Snatch
120,Indiana Jones and the Last Crusade,1989,Steven Spielberg,"Harrison Ford,  Sean Connery",8.2,\Posters\Indiana Jones and the Last Crusade
121,Ladri di biciclette,1948,Vittorio De Sica,"Lamberto Maggiorani,  Enzo Staiola",8.2,\Posters\Ladri di biciclette
122,Taare Zameen Par,2007,Aamir Khan,"Darsheel Safary,  Aamir Khan",8.2,\Posters\Taare Zameen Par
123,1917,2019,Sam Mendes,"Dean-Charles Chapman,  George MacKay",8.2,\Posters\1917
124,Der Untergang,2004,Oliver Hirschbiegel,"Bruno Ganz,  Alexandra Maria Lara",8.2,\Posters\Der Untergang
125,Per qualche dollaro in più,1965,Sergio Leone,"Clint Eastwood,  Lee Van Cleef",8.2,\Posters\Per qualche dollaro in più
126,Dangal,2016,Nitesh Tiwari,"Aamir Khan,  Sakshi Tanwar",8.2,\Posters\Dangal
127,Batman Begins,2005,Christopher Nolan,"Christian Bale,  Michael Caine",8.2,\Posters\Batman Begins
128,The Kid,1921,Charles Chaplin,"Charles Chaplin,  Edna Purviance",8.2,\Posters\The Kid
129,Some Like It Hot,1959,Billy Wilder,"Marilyn Monroe,  Tony Curtis",8.2,\Posters\Some Like It Hot
130,The Father,2020,Florian Zeller,"Anthony Hopkins,  Olivia Colman",8.2,\Posters\The Father
131,All About Eve,1950,Joseph L. Mankiewicz,"Bette Davis,  Anne Baxter",8.2,\Posters\All About Eve
132,Green Book,2018,Peter Farrelly,"Viggo Mortensen,  Mahershala Ali",8.2,\Posters\Green Book
133,The Wolf of Wall Street,2013,Martin Scorsese,"Leonardo DiCaprio,  Jonah Hill",8.2,\Posters\The Wolf of Wall Street
134,Judgment at Nuremberg,1961,Stanley Kramer,"Spencer Tracy,  Burt Lancaster",8.2,\Posters\Judgment at Nuremberg
135,Casino,1995,Martin Scorsese,"Robert De Niro,  Sharon Stone",8.2,\Posters\Casino
136,Ran,1985,Akira Kurosawa,"Tatsuya Nakadai,  Akira Terao",8.2,\Posters\Ran
